tag,anchor,PRF,channel,data rate,preamble,TXpower,PRR,Average distance error anchor,Stde distance error anchor,energy consumption,packet duration,Average RSP tag,Stde RSP tag,Average RSP anchor,Stde RSP anchor,Average LOS indication tag,Stde LOS indication tag,Average LOS indication anchor,Stde LOS indication anchor,Mean noise CIR tag,Mean noise CIR anchor,startindex,stopindex
1,2,64,5,110,1024,18.0,,,,,,,,,,,,,,,,,
1,2,64,5,110,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,5,110,4096,7.5,1.0,196.87757785756912,,135.0,8.932616805862068,-100.138,,-98.976,,13.518,,11.457999999999998,,56.0,112.0,2991.0,2991.0
1,2,64,5,6800,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,5,6800,128,18.0,,,,,,,,,,,,,,,,,
1,2,64,5,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,2,64,5,6800,1024,18.0,,,,,,,,,,,,,,,,,
1,2,64,5,6800,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,5,6800,4096,18.0,,,,,,,,,,,,,,,,,
1,2,64,7,110,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,110,128,8.5,1.0,6771.877577857569,,147.0,4.8946609658620694,-2147483648.0,,-114.191,,-2147483534.459,,-5.090000000000003,,24.0,28.0,2992.0,2992.0
1,2,64,7,110,1024,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,110,1024,8.5,0.7555555555555555,322.1705651644198,41.34482155580365,147.0,5.806457445862068,-99.77823076923079,0.9217179178468436,-98.93214492753623,0.8393265906343906,12.51028205128205,1.0593141360778873,12.967971014492754,0.9698249382812296,58.46153846153846,59.18840579710145,2993.0,3070.0
1,2,64,7,110,4096,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,110,4096,8.5,0.8103448275862069,338.39027928528805,35.995490744332876,147.0,8.932616805862068,-98.58958928571428,0.5676698627171632,-97.67875,1.1162988211410096,13.092455357142857,0.8483930532270026,13.56371,1.1280667407632228,118.96428571428571,120.16,3071.0,3182.0
1,2,64,7,6800,128,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,6800,128,18.0,,,,,,,,,,,,,,,,,
1,2,64,7,6800,1024,0.0,,,,,,,,,,,,,,,,,
1,2,64,7,6800,1024,18.0,,,,,,,,,,,,,,,,,
